menu,price,genre,name,adress,tel,lat,lng,url
(アイルランド) ギネス,1050,イタリアン・フレンチ,IL GHIOTTONE di piu(イルギオットーネ ディピュー),大阪府大阪市北区大深町３番１号グランフロント大阪　北館１階,06-6317-9669,34.7053446,135.4945926,https://www.hotpepper.jp/strJ001042764/
(ベルギー) ヒューガルデンホワイト,1050,イタリアン・フレンチ,IL GHIOTTONE di piu(イルギオットーネ ディピュー),大阪府大阪市北区大深町３番１号グランフロント大阪　北館１階,06-6317-9669,34.7053446,135.4945926,https://www.hotpepper.jp/strJ001042764/
(日本) サントリー プレミアムモルツ,840,イタリアン・フレンチ,IL GHIOTTONE di piu(イルギオットーネ ディピュー),大阪府大阪市北区大深町３番１号グランフロント大阪　北館１階,06-6317-9669,34.7053446,135.4945926,https://www.hotpepper.jp/strJ001042764/
<グラス>アサヒ スーパードライ,528,韓国料理,焼肉・韓国料理 KollaBo（コラボ）梅田店,大阪府大阪市北区小松原町2-4 大阪富国生命ビルB2F,050-5852-1596,34.70217,135.5000915,https://www.hotpepper.jp/strJ001294686/
<グラス>キリン一番搾り,528,韓国料理,焼肉・韓国料理 KollaBo（コラボ）梅田店,大阪府大阪市北区小松原町2-4 大阪富国生命ビルB2F,050-5852-1596,34.70217,135.5000915,https://www.hotpepper.jp/strJ001294686/
<ドイツビール>ホフブロイ・ミュンヘン ラガーStyle ALC 5.5%,950,居酒屋,串焼き&ワイン　ウナチッタ,大阪府大阪市北区曽根崎２－１０－１９ 河合ビルB１,050-5834-2677,34.7007326,135.5009073,https://www.hotpepper.jp/strJ000973087/
<中>アサヒ スーパードライ,638,韓国料理,焼肉・韓国料理 KollaBo（コラボ）梅田店,大阪府大阪市北区小松原町2-4 大阪富国生命ビルB2F,050-5852-1596,34.70217,135.5000915,https://www.hotpepper.jp/strJ001294686/
<中>キリン一番搾り,638,韓国料理,焼肉・韓国料理 KollaBo（コラボ）梅田店,大阪府大阪市北区小松原町2-4 大阪富国生命ビルB2F,050-5852-1596,34.70217,135.5000915,https://www.hotpepper.jp/strJ001294686/
<中瓶>アサヒスーパードライ,750,創作料理,産地直送海鮮　和食　恒雅（つねまさ）　北新地,大阪府大阪市北区曽根崎新地１-5-32 ボネールビル2F,06-6341-7770,34.6990236,135.5081067,https://www.hotpepper.jp/strJ001029415/
<小瓶>アサヒスーパードライ ブラック,550,創作料理,産地直送海鮮　和食　恒雅（つねまさ）　北新地,大阪府大阪市北区曽根崎新地１-5-32 ボネールビル2F,06-6341-7770,34.6990236,135.5081067,https://www.hotpepper.jp/strJ001029415/
